x,y,w,h,cx,cy,hash
627.7528089887641,370.00374531835206,6.842696629213483,7.580524344569288,630.4007490636704,373.0449438202247,e9ef5d9c780c65441c4cf8fb3f07ab913e834dff0c36d0183769829474690643d30a5091c5ae56c99ad4f9f9fea743f5a1115e215680ba11da8931e1ef1f5e48
637.9630996309963,371.2767527675277,7.044280442804428,7.977859778597786,640.6863468634687,374.4981549815498,45df49533a6464efc01cfda7f5beb0c522ff54d600ece3f47b1f9fdec5acd4956ccf96f532300e2a55dfa65eadea836d7944b96a2986ffdadcad65fa8f3233f1
650.9222222222222,370.63703703703703,7.318518518518519,8.311111111111112,653.7555555555556,373.9851851851852,2b738ca3134a317f5ab0f0f59a54ce184778bfb162e6d5e7b89f8adb9e35fbf28ed9aab5f9ccf01e1fc6c70744dd0ddb3e094f90f877fdc9cb97741f90104752
642.8927335640138,374.7681660899654,7.103806228373703,8.086505190311419,645.6332179930796,377.9965397923875,74bb0084852f9a2357a890d72c3c52b8ab939ca2bc71116a206c01c812cbb74023a9d90140281d7bf68da486a1c08450dd25c04843bfe51f5b908af43037118f
635.6439393939394,365.3598484848485,7.242424242424242,7.837121212121212,638.4772727272727,368.4848484848485,62db3491bf2bb75295bf282e65b6e9f034c879c99353209e539df6b6ce019f6461c00a2b898d7015127d08dd2669a83c93c204a7bb6d4a3e54f6bbf80fdd1467
640.204152249135,374.3287197231834,6.560553633217993,7.134948096885813,642.7231833910034,377.15916955017303,447f8d1738dad46ee3e6e8d48633afb168f9caec9691a6715171f3a1ad4baee981b5d00f73989af407f81632154a8c4392791f15d82f41a78636d9ff024dd627
640.7619047619048,377.97069597069594,7.2234432234432235,8.304029304029305,643.5787545787546,381.3113553113553,fe0d98097cf9d4649c4a65137aa9b2d1504fe79c012e22814bce32a79081953f38f4f3361baa6dbe60333e2bea988a293ff7bb24420ba95c52e54f76c068d8b2
630.9826388888889,376.60069444444446,6.8125,7.597222222222222,633.5833333333334,379.5763888888889,d2107ba66c0b84af247f119274a167f079b78998feaae04f98482c2f21934e69a3392ff0fc4113e1c594623098f760f0b06e3e7c78b18549397ff0c6fb53c780
638.438202247191,377.02247191011236,7.168539325842697,7.715355805243446,641.3071161048689,380.0674157303371,091ceea13acf947214b58c76869af9e6f7226cdd3cd7b7d2695e5b7b101e30aba83af01df2cfd220a184174fb2ece6eac356227041f951ef49b7dddb52156253
651.501872659176,386.5168539325843,7.370786516853933,8.205992509363297,654.374531835206,389.7790262172285,f85b56f0094e1eeba875d2e2dde04e20260564cf3faabb7f87c204680e5bd08ae71417b469cf76c193173755db0524539c00efc05115a9c54bbe2b5fc196468e
